timestamp,component,metric_name,value
2026-08-18T10:00:00Z,payment-api,cpu_utilization,12.5
2026-08-18T10:00:00Z,payment-api,db_connections,15
2026-08-18T10:00:00Z,payment-api,latency_ms,120
2026-08-18T10:02:00Z,payment-api,cpu_utilization,18.2
2026-08-18T10:02:00Z,payment-api,db_connections,45
2026-08-18T10:02:00Z,payment-api,latency_ms,135
2026-08-18T10:04:00Z,payment-api,cpu_utilization,22.0
2026-08-18T10:04:00Z,payment-api,db_connections,120
2026-08-18T10:04:00Z,payment-api,latency_ms,150
2026-08-18T10:06:00Z,payment-api,cpu_utilization,35.4
2026-08-18T10:06:00Z,payment-api,db_connections,180
2026-08-18T10:06:00Z,payment-api,latency_ms,320
2026-08-18T10:08:00Z,payment-api,cpu_utilization,40.1
2026-08-18T10:08:00Z,payment-api,db_connections,200
2026-08-18T10:08:00Z,payment-api,latency_ms,1250
2026-08-18T10:10:00Z,payment-api,cpu_utilization,45.8
2026-08-18T10:10:00Z,payment-api,db_connections,200
2026-08-18T10:10:00Z,payment-api,latency_ms,5000
2026-08-18T10:12:00Z,payment-api,cpu_utilization,48.2
2026-08-18T10:12:00Z,payment-api,db_connections,200
2026-08-18T10:12:00Z,payment-api,latency_ms,8500
2026-08-18T10:14:00Z,payment-api,cpu_utilization,50.1
2026-08-18T10:14:00Z,payment-api,db_connections,200
2026-08-18T10:14:00Z,payment-api,latency_ms,9200
